"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Log CRP","Telomeres Year 1","472","-0.09","1.41","-0.03","-0.03","0 (0, 0)","1","1","-0.06","-0.08","-0.02 (-0.14, 0.11)","0.81","0.88"
"4","","Telomeres Year 2","519","-0.09","1.41","-0.38","-0.34","0.04 (-0.07, 0.15)","0.51","0.87","-0.23","-0.21","0.02 (-0.12, 0.16)","0.74","0.88"
"5","","Telomere Change Year 1 and Year 2","403","-0.09","1.41","-0.4","-0.3","0.11 (-0.06, 0.27)","0.2","0.72","0.16","0.16","0.01 (0, 0.02)","0.1","0.68"
"6","","","","","","","","","","","","","","",""
"7","Log AGP","Telomeres Year 1","472","-1.11","-0.54","-0.03","-0.03","0 (0, 0)","1","1","-0.04","-0.12","-0.08 (-0.18, 0.03)","0.17","0.68"
"8","","Telomeres Year 2","519","-1.12","-0.58","-0.33","-0.37","-0.05 (-0.14, 0.05)","0.32","0.78","-0.14","-0.22","-0.09 (-0.3, 0.13)","0.45","0.88"
"9","","Telomere Change Year 1 and Year 2","403","-1.12","-0.58","-0.31","-0.38","-0.07 (-0.17, 0.03)","0.18","0.72","0.16","0.16","0 (-0.01, 0)","0.28","0.83"
"10","","","","","","","","","","","","","","",""
"11","","","","","","","","","","","","","","",""
"12","Inflammation Sum Score","Telomeres Year 1","393","-0.62","0.65","-0.07","-0.02","0.05 (-0.13, 0.23)","0.58","0.87","-0.05","-0.03","0.02 (-0.1, 0.15)","0.75","0.88"
"13","","Telomeres Year 2","489","-0.64","0.64","-0.33","-0.39","-0.06 (-0.23, 0.12)","0.53","0.87","-0.19","-0.37","-0.18 (-0.42, 0.06)","0.14","0.68"
"14","","Telomere Change Year 1 and Year 2","381","-0.64","0.63","-0.11","-0.37","-0.26 (-0.53, 0.01)","0.06","0.68","0.65","0.47","-0.18 (-0.59, 0.22)","0.39","0.88"
